NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
1,삼성전자,65200,하락300,-0.46%,100,3892298,5969783,51.58,2799429,8.09,17.07
2,LG에너지솔루션,580000,하락2000,-0.34%,500,1357200,234000,5.39,74258,175.49,5.75
3,SK하이닉스,87300,하락900,-1.02%,5000,635546,728002,49.52,450735,28.50,3.56
4,LG화학,799000,상승9000,+1.14%,5000,564033,70592,48.28,83789,33.89,6.95
5,삼성바이오로직스,787000,하락1000,-0.13%,2500,560139,71174,10.66,16122,68.97,11.42
6,삼성SDI,756000,하락2000,-0.26%,5000,519860,68765,49.58,46655,27.26,12.52
7,삼성전자우,55100,하락400,-0.72%,100,453411,822887,71.81,195327,6.84,N/A
8,현대차,193600,0,0.00%,5000,409525,211532,31.34,121794,7.28,9.36
9,POSCO홀딩스,414500,상승2500,+0.61%,5000,350548,84571,40.84,462760,11.37,6.11
10,기아,84900,하락500,-0.59%,5000,344153,405363,37.01,361094,6.36,14.57
11,포스코퓨처엠,413500,하락500,-0.12%,500,320310,77463,8.42,489886,270.79,4.87
12,NAVER,192000,상승600,+0.31%,100,314974,164049,47.31,177175,41.43,3.29
13,카카오,58400,하락200,-0.34%,100,260264,445657,26.13,357360,19.23,13.54
14,셀트리온,170100,하락200,-0.12%,1000,239534,140819,20.41,88879,46.26,13.35
15,현대모비스,229000,상승2000,+0.88%,5000,215913,94285,36.88,45005,8.71,6.80
16,KB금융,50000,상승550,+1.11%,5000,204449,408897,71.69,336296,4.68,9.17
17,삼성물산,107900,하락400,-0.37%,100,201651,186887,17.64,40668,9.95,7.16
18,LG전자,112100,하락800,-0.71%,5000,183449,163648,28.29,154309,16.94,6.61
19,신한지주,35750,상승100,+0.28%,5000,180576,505108,62.41,217068,4.09,9.70
20,SK이노베이션,187100,하락400,-0.21%,5000,173003,92466,23.95,107251,11.17,8.49
21,LG,90400,하락1300,-1.42%,5000,142200,157301,35.74,36184,7.32,8.48
22,삼성생명,65300,상승100,+0.15%,500,130600,200000,15.57,30456,8.25,5.73
23,하나금융지주,42300,상승100,+0.24%,5000,125167,295903,70.98,160189,3.54,10.06
24,SK,169100,하락1400,-0.82%,200,123778,73198,23.38,26855,11.50,5.13
25,한국전력,18730,상승10,+0.05%,5000,120240,641964,14.49,252455,-0.49,-46.91
26,두산에너빌리티,18790,상승250,+1.35%,5000,119938,638308,13.00,3189840,-15.07,-11.70
27,KT&G,86200,0,0.00%,5000,118346,137292,44.40,44705,11.65,11.00
28,카카오뱅크,23550,상승150,+0.64%,5000,112279,476767,13.49,191992,42.59,4.68
29,삼성전기,144900,하락1400,-0.96%,5000,108231,74694,29.74,64621,11.47,13.76
30,고려아연,544000,하락10000,-1.81%,5000,108056,19863,21.84,12927,13.41,9.38
31,HMM,21900,상승250,+1.15%,5000,107100,489039,11.15,771927,1.06,64.98
32,SK텔레콤,48250,하락300,-0.62%,100,105587,218833,44.20,58561,11.57,7.97
33,LG생활건강,670000,하락4000,-0.59%,5000,104642,15618,34.88,8786,50.18,4.41
34,하이브,247500,하락4000,-1.59%,500,102350,41353,17.48,86384,195.65,1.87
35,삼성화재,214000,상승1500,+0.71%,500,101382,47375,51.99,10293,8.45,9.70
36,HD현대중공업,112000,상승2000,+1.82%,5000,99426,88773,6.39,60852,-28.24,-6.47
37,크래프톤,195500,상승3100,+1.61%,100,96259,49237,30.58,41146,19.18,10.29
38,한화솔루션,54000,하락200,-0.37%,5000,92822,171893,24.66,401913,28.97,4.21
39,삼성에스디에스,118400,상승400,+0.34%,500,91615,77378,15.48,22560,8.33,14.23
40,S-Oil,78900,하락1100,-1.37%,2500,88828,112583,79.83,111451,4.37,27.20
41,대한항공,23800,상승350,+1.49%,5000,87637,368221,15.25,644157,4.96,21.95
42,우리금융지주,11680,하락60,-0.51%,5000,85037,728061,39.86,515256,2.71,11.51
43,엔씨소프트,372500,하락1500,-0.40%,500,81779,21954,45.39,23993,18.77,13.73
