0,1,2,3,4,5,6,7,8,9,10,11
1,삼성전자,"65,600",상승300,+0.46%,100,"3,916,177","5,969,783",51.52,"14,763,057",8.14,17.07
2,LG에너지솔루션,"592,000","상승1,000",+0.17%,500,"1,385,280","234,000",5.40,"245,221",179.12,5.75
3,SK하이닉스,"87,600",하락900,-1.02%,"5,000","637,730","728,002",49.54,"1,755,311",28.60,3.56
4,LG화학,"825,000","상승20,000",+2.48%,"5,000","582,387","70,592",48.44,"357,812",35.00,6.95
5,삼성바이오로직스,"793,000","하락19,000",-2.34%,"2,500","564,410","71,174",10.71,"82,991",69.49,11.42
6,삼성SDI,"766,000","상승11,000",+1.46%,"5,000","526,736","68,765",49.44,"290,863",27.62,12.52
7,삼성전자우,"55,700",0,0.00%,100,"458,348","822,887",71.67,"1,083,126",6.91,N/A
8,현대차,"191,400","하락3,600",-1.85%,"5,000","404,871","211,532",31.26,"960,041",7.20,9.36
9,POSCO홀딩스,"414,500","하락9,000",-2.13%,"5,000","350,548","84,571",41.54,"2,522,910",11.37,6.11
10,기아,"82,700","하락1,800",-2.13%,"5,000","335,235","405,363",36.99,"2,120,875",6.20,14.57
11,NAVER,"192,800","하락4,200",-2.13%,100,"316,287","164,049",47.54,"1,014,174",41.61,3.29
12,포스코퓨처엠,"382,000","하락2,500",-0.65%,500,"295,910","77,463",8.45,"2,608,439",250.16,4.87
13,카카오,"59,000","하락1,100",-1.83%,100,"262,937","445,657",26.17,"1,725,550",19.43,13.54
14,셀트리온,"171,000","하락4,500",-2.56%,"1,000","240,801","140,819",20.33,"641,328",46.51,13.35
15,현대모비스,"225,000","하락3,000",-1.32%,"5,000","212,141","94,285",36.75,"222,124",8.55,6.80
16,삼성물산,"107,600",하락900,-0.83%,100,"201,090","186,887",17.60,"247,096",9.92,7.16
17,KB금융,"48,400",0,0.00%,"5,000","197,906","408,897",71.67,"854,868",4.53,9.17
18,LG전자,"111,600",하락600,-0.53%,"5,000","182,631","163,648",27.97,"1,010,070",16.87,6.61
19,신한지주,"35,250",하락250,-0.70%,"5,000","178,051","505,108",62.41,"959,277",4.03,9.70
20,SK이노베이션,"188,000","하락5,500",-2.84%,"5,000","173,835","92,466",23.97,"1,075,886",11.23,8.49
21,LG,"91,000","상승2,600",+2.94%,"5,000","143,144","157,301",35.66,"430,490",7.37,8.48
22,삼성생명,"64,600",하락100,-0.15%,500,"129,200","200,000",15.52,"158,094",8.16,5.73
23,SK,"170,000",0,0.00%,200,"124,437","73,198",23.33,"158,772",11.56,5.13
24,하나금융지주,"42,000",상승500,+1.20%,"5,000","124,279","295,903",70.89,"665,653",3.51,10.06
25,두산에너빌리티,"18,640",하락660,-3.42%,"5,000","118,981","638,308",13.13,"10,763,192",-14.95,-11.70
26,한국전력,"18,490",하락440,-2.32%,"5,000","118,699","641,964",14.47,"1,630,945",-0.49,-46.91
27,KT&G,"85,700","상승1,400",+1.66%,"5,000","117,660","137,292",44.20,"555,523",11.58,11.00
28,카카오뱅크,"23,750",하락50,-0.21%,"5,000","113,232","476,767",13.49,"1,141,003",42.95,4.68
29,삼성전기,"147,600","하락4,200",-2.77%,"5,000","110,248","74,694",30.01,"680,141",11.68,13.76
30,고려아연,"546,000","하락10,000",-1.80%,"5,000","108,453","19,863",21.86,"48,412",13.46,9.38
31,하이브,"258,500","하락1,500",-0.58%,500,"106,898","41,353",17.19,"245,458",204.35,1.87
32,SK텔레콤,"48,750",상승600,+1.25%,100,"106,681","218,833",44.09,"420,988",11.69,7.97
33,LG생활건강,"680,000","상승33,000",+5.10%,"5,000","106,204","15,618",34.93,"116,910",50.93,4.41
34,HMM,"21,600",상승250,+1.17%,"5,000","105,633","489,039",11.09,"2,322,252",1.05,64.98
35,삼성화재,"211,000","상승4,500",+2.18%,500,"99,961","47,375",51.88,"104,394",8.33,9.70
36,한화솔루션,"54,700","상승2,400",+4.59%,"5,000","94,025","171,893",24.71,"5,151,869",29.35,4.21
37,HD현대중공업,"105,400",하락300,-0.28%,"5,000","93,567","88,773",6.28,"126,727",-26.58,-6.47
38,크래프톤,"188,400",하락800,-0.42%,100,"92,763","49,237",30.53,"113,472",18.48,10.29
39,삼성에스디에스,"117,400",하락500,-0.42%,500,"90,842","77,378",15.45,"99,481",8.26,14.23
40,S-Oil,"80,500","하락1,000",-1.23%,"2,500","90,629","112,583",79.85,"235,071",4.46,27.20
41,대한항공,"23,200",하락150,-0.64%,"5,000","85,427","368,221",15.20,"1,178,290",4.84,21.95
42,우리금융지주,"11,660",상승90,+0.78%,"5,000","84,892","728,061",39.83,"1,875,339",2.70,11.51
43,엔씨소프트,"377,000",0,0.00%,500,"82,767","21,954",45.32,"135,178",19.00,13.73
44,아모레퍼시픽,"140,200","상승6,900",+5.18%,500,"82,007","58,493",24.86,"453,152",72.01,2.81
45,기업은행,"10,120",0,0.00%,"5,000","80,699","797,426",13.84,"612,883",2.91,9.85
46,KT,"30,600",하락300,-0.97%,"5,000","79,900","261,112",40.61,"881,052",6.33,7.99
47,카카오페이,"57,200","하락1,900",-3.21%,500,"76,594","133,905",43.55,"411,448",140.54,3.08
48,롯데케미칼,"177,800","하락2,600",-1.44%,"5,000","76,055","42,775",24.05,"115,920",104.04,0.43
49,메리츠금융지주,"42,850",하락800,-1.83%,500,"73,526","171,589",12.94,"509,595",5.25,30.32
50,현대글로비스,"162,500",하락600,-0.37%,500,"60,938","37,500",46.88,"90,331",5.12,18.78
