NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
1,삼성전자,"65,100",하락400,-0.61%,100,"3,886,328","5,969,783",51.58,"2,775,710",8.08,17.07
2,LG에너지솔루션,"579,000","하락3,000",-0.52%,500,"1,354,860","234,000",5.39,"71,347",175.19,5.75
3,SK하이닉스,"87,400",하락800,-0.91%,"5,000","636,274","728,002",49.52,"444,610",28.53,3.56
4,LG화학,"796,000","상승6,000",+0.76%,"5,000","561,915","70,592",48.28,"81,740",33.77,6.95
5,삼성바이오로직스,"786,000","하락2,000",-0.25%,"2,500","559,428","71,174",10.66,"16,013",68.88,11.42
6,삼성SDI,"756,000","하락2,000",-0.26%,"5,000","519,860","68,765",49.58,"46,177",27.26,12.52
7,삼성전자우,"55,000",하락500,-0.90%,100,"452,588","822,887",71.81,"189,788",6.83,N/A
8,현대차,"193,800",상승200,+0.10%,"5,000","409,948","211,532",31.34,"117,352",7.29,9.36
9,POSCO홀딩스,"414,500","상승2,500",+0.61%,"5,000","350,548","84,571",40.84,"450,367",11.37,6.11
10,기아,"84,900",하락500,-0.59%,"5,000","344,153","405,363",37.01,"346,125",6.36,14.57
11,포스코퓨처엠,"415,000","상승1,000",+0.24%,500,"321,472","77,463",8.42,"474,637",271.77,4.87
12,NAVER,"192,100",상승700,+0.37%,100,"315,138","164,049",47.31,"174,183",41.45,3.29
13,카카오,"58,300",하락300,-0.51%,100,"259,818","445,657",26.13,"355,476",19.20,13.54
14,셀트리온,"170,300",0,0.00%,"1,000","239,816","140,819",20.41,"88,042",46.31,13.35
15,현대모비스,"228,500","상승1,500",+0.66%,"5,000","215,441","94,285",36.88,"44,596",8.69,6.80
16,KB금융,"50,100",상승650,+1.31%,"5,000","204,857","408,897",71.69,"329,951",4.69,9.17
17,삼성물산,"108,000",하락300,-0.28%,100,"201,838","186,887",17.64,"37,569",9.96,7.16
18,LG전자,"112,400",하락500,-0.44%,"5,000","183,940","163,648",28.29,"135,481",16.99,6.61
19,신한지주,"35,800",상승150,+0.42%,"5,000","180,829","505,108",62.41,"213,100",4.10,9.70
20,SK이노베이션,"187,300",하락200,-0.11%,"5,000","173,188","92,466",23.95,"104,119",11.19,8.49
21,LG,"90,600","하락1,100",-1.20%,"5,000","142,515","157,301",35.74,"31,572",7.34,8.48
22,삼성생명,"65,500",상승300,+0.46%,500,"131,000","200,000",15.57,"29,928",8.27,5.73
23,하나금융지주,"42,250",상승50,+0.12%,"5,000","125,019","295,903",70.98,"158,669",3.54,10.06
24,SK,"169,400","하락1,100",-0.65%,200,"123,998","73,198",23.38,"26,476",11.52,5.13
25,한국전력,"18,750",상승30,+0.16%,"5,000","120,368","641,964",14.49,"240,839",-0.49,-46.91
26,두산에너빌리티,"18,790",상승250,+1.35%,"5,000","119,938","638,308",13.00,"3,137,717",-15.07,-11.70
27,KT&G,"86,200",0,0.00%,"5,000","118,346","137,292",44.40,"44,231",11.65,11.00
28,카카오뱅크,"23,500",상승100,+0.43%,"5,000","112,040","476,767",13.49,"183,013",42.50,4.68
29,삼성전기,"145,100","하락1,200",-0.82%,"5,000","108,381","74,694",29.74,"61,999",11.48,13.76
30,고려아연,"545,000","하락9,000",-1.62%,"5,000","108,254","19,863",21.84,"12,796",13.43,9.38
31,HMM,"22,050",상승400,+1.85%,"5,000","107,833","489,039",11.15,"730,421",1.07,64.98
32,SK텔레콤,"48,250",하락300,-0.62%,100,"105,587","218,833",44.20,"57,491",11.57,7.97
33,LG생활건강,"671,000","하락3,000",-0.45%,"5,000","104,798","15,618",34.88,"8,414",50.25,4.41
34,하이브,"247,000","하락4,500",-1.79%,500,"102,143","41,353",17.48,"84,110",195.26,1.87
35,삼성화재,"213,500","상승1,000",+0.47%,500,"101,145","47,375",51.99,"10,095",8.43,9.70
36,HD현대중공업,"111,800","상승1,800",+1.64%,"5,000","99,248","88,773",6.39,"51,882",-28.19,-6.47
37,크래프톤,"195,300","상승2,900",+1.51%,100,"96,160","49,237",30.58,"37,974",19.16,10.29
38,한화솔루션,"54,000",하락200,-0.37%,"5,000","92,822","171,893",24.66,"395,986",28.97,4.21
39,삼성에스디에스,"118,400",상승400,+0.34%,500,"91,615","77,378",15.48,"21,740",8.33,14.23
40,S-Oil,"78,800","하락1,200",-1.50%,"2,500","88,715","112,583",79.83,"110,493",4.37,27.20
41,대한항공,"23,850",상승400,+1.71%,"5,000","87,821","368,221",15.25,"624,939",4.97,21.95
42,우리금융지주,"11,700",하락40,-0.34%,"5,000","85,183","728,061",39.86,"477,857",2.71,11.51
43,엔씨소프트,"372,000","하락2,000",-0.53%,500,"81,669","21,954",45.39,"23,286",18.74,13.73
44,기업은행,"10,200",상승20,+0.20%,"5,000","81,337","797,426",13.88,"236,022",2.93,9.85
45,아모레퍼시픽,"138,400","하락3,500",-2.47%,500,"80,954","58,493",25.11,"63,081",71.08,2.81
46,KT,"30,500",하락150,-0.49%,"5,000","79,639","261,112",40.51,"167,547",6.31,7.99
47,카카오페이,"56,500",0,0.00%,500,"75,656","133,905",43.44,"49,352",138.82,3.08
48,롯데케미칼,"176,600",하락600,-0.34%,"5,000","75,541","42,775",24.07,"17,401",103.34,0.43
49,메리츠금융지주,"42,600",하락300,-0.70%,500,"73,097","171,589",12.91,"61,006",5.22,30.32
50,KODEX 200,"33,800",하락50,-0.15%,0,"62,293","184,300",3.85,"517,667",N/A,N/A
51,현대글로비스,"166,100",상승700,+0.42%,500,"62,288","37,500",47.11,"21,020",5.23,18.78
52,SK아이이테크놀로지,"87,300","하락3,200",-3.54%,"1,000","62,243","71,298",7.24,"344,397",-209.86,-1.35
53,한국조선해양,"85,900",상승600,+0.70%,"5,000","60,794","70,773",20.63,"38,845",-28.03,-2.22
54,LG이노텍,"255,000","하락3,500",-1.35%,"5,000","60,351","23,667",21.05,"29,733",6.16,25.85
55,SK바이오사이언스,"76,900",상승100,+0.13%,500,"59,047","76,784",3.91,"113,150",48.18,N/A
56,삼성엔지니어링,"30,100",0,0.00%,"5,000","58,996","196,000",46.69,"118,555",8.87,28.32
57,DB손해보험,"82,700",상승300,+0.36%,500,"58,552","70,800",44.07,"24,251",5.96,16.45
58,LG디스플레이,"16,010",하락70,-0.44%,"5,000","57,286","357,816",20.10,"292,452",-1.87,-26.71
59,SK스퀘어,"40,450",하락300,-0.74%,100,"57,224","141,468",42.23,"47,466",22.03,1.55
60,오리온,"143,900",하락100,-0.07%,500,"56,892","39,536",41.43,"19,317",14.50,16.47
61,한국항공우주,"58,000","상승2,500",+4.50%,"5,000","56,536","97,475",26.95,"1,007,160",47.74,8.78
62,코스모신소재,"183,500","상승3,300",+1.83%,"1,000","56,244","30,651",7.06,"158,655",201.43,12.13
63,넷마블,"65,400","하락2,600",-3.82%,100,"56,214","85,954",22.38,"89,336",-6.86,-14.56
64,F&F,"145,700",상승200,+0.14%,100,"55,813","38,307",12.40,"17,146",12.63,60.40
65,한화에어로스페이스,"110,000","상승1,700",+1.57%,"5,000","55,693","50,630",33.49,"237,993",27.73,6.98
66,SK바이오팜,"70,900",상승400,+0.57%,500,"55,524","78,313",6.57,"30,723",-39.83,-36.66
67,포스코인터내셔널,"31,300",상승50,+0.16%,"5,000","55,064","175,923",5.12,"173,371",6.55,15.79
68,삼성중공업,"5,780",상승20,+0.35%,"1,000","50,864","880,000",15.82,"1,327,516",-8.21,-16.08
69,맥쿼리인프라,"12,420",상승20,+0.16%,0,"50,282","404,846",13.82,"39,124",N/A,N/A
70,현대제철,"37,400",상승250,+0.67%,"5,000","49,909","133,446",24.55,"129,931",4.90,5.56
71,한온시스템,"9,240",하락140,-1.49%,100,"49,323","533,800",16.42,"125,091",243.16,0.89
72,LG유플러스,"11,240",하락50,-0.44%,"5,000","49,075","436,611",38.92,"71,477",7.40,8.37
73,CJ제일제당,"320,000","상승2,000",+0.63%,"5,000","48,173","15,054",24.41,"5,344",8.80,9.26
74,TIGER CD금리투자KIS(합성),"52,235",상승15,+0.03%,0,"47,771","91,454",0.00,"22,245",N/A,N/A
75,두산밥캣,"47,650",하락50,-0.10%,500,"47,769","100,249",34.82,"38,033",7.42,13.78
76,HD현대,"60,300",상승500,+0.84%,"1,000","47,633","78,993",18.79,"19,978",3.38,20.43
77,현대건설,"39,900",상승450,+1.14%,"5,000","44,431","111,356",24.86,"80,352",10.97,5.49
78,한국타이어앤테크놀로지,"35,850",하락250,-0.69%,500,"44,409","123,875",37.61,"27,583",6.43,8.14
79,유한양행,"56,000",하락400,-0.71%,"1,000","42,918","76,639",20.07,"31,203",45.79,4.86
